Home_ID,Away_ID,R Home,R Away,Home Pitcher,Away Pitcher,Date,HomePitcherERA,AwayPitcherERA,Home Rating,Away Rating
LAD,ARI,8,2,Urías,Gallen,2023-03-30,4.6,3.47,1500.0,1500.0
CIN,PIT,4,5,Farmer,Zastryzny,2023-03-30,4.2,4.79,1500.0,1500.0
HOU,CHW,2,3,Pressly,Graveman,2023-03-30,3.58,3.12,1500.0,1500.0
MIA,NYM,3,5,Scott,Scherzer,2023-03-30,4.66,3.77,1500.0,1500.0
SDP,COL,2,7,Snell,Márquez,2023-03-30,2.25,4.95,1500.0,1500.0
CHC,MIL,4,0,Stroman,Burnes,2023-03-30,3.95,3.39,1500.0,1500.0
NYY,SFG,5,0,Cole,Webb,2023-03-30,2.63,3.69,1500.0,1500.0
SEA,CLE,3,0,Sewald,Karinchak,2023-03-30,3.12,3.23,1500.0,1500.0
TEX,PHI,11,7,Ragans,Soto,2023-03-30,3.47,4.62,1500.0,1500.0
TBR,DET,4,0,McClanahan,Rodríguez,2023-03-30,3.29,15.19,1500.0,1500.0
WSN,ATL,2,7,Corbin,Luetge,2023-03-30,3.39,7.24,1500.0,1500.0
BOS,BAL,9,10,Kluber,Gibson,2023-03-30,7.04,4.73,1500.0,1500.0
OAK,LAA,2,1,May,Loup,2023-03-30,2.63,6.1,1500.0,1500.0
KCR,MIN,0,2,Greinke,López,2023-03-30,5.06,5.95,1500.0,1500.0
STL,TOR,9,10,Helsley,García,2023-03-30,2.45,2.4,1500.0,1500.0
LAD,ARI,1,2,Vesia,Jameson,2023-03-31,4.35,3.32,1512.9918848341702,1487.0081151658298
HOU,CHW,6,3,Martinez,Graveman,2023-03-31,4.75,3.12,1494.6960852265468,1505.3039147734532
MIA,NYM,2,1,Luzardo,Peterson,2023-03-31,3.58,5.03,1492.4991317937113,1507.5008682062887
SEA,CLE,4,9,Ray,Sandlin,2023-03-31,4.24,3.75,1509.1866498666363,1490.8133501333637
SDP,COL,1,4,Martinez,Freeland,2023-03-31,4.75,5.03,1488.140086019693,1511.859913980307
CHC,MIL,1,3,Assad,Strzelecki,2023-04-01,3.05,4.38,1510.6078295469067,1489.3921704530933
STL,TOR,4,1,Flaherty,Gausman,2023-04-01,4.99,3.16,1494.6960852265468,1505.3039147734532
WSN,ATL,1,7,Gray,Strider,2023-04-01,4.12,3.86,1488.140086019693,1511.859913980307
HOU,CHW,6,4,Stanek,Kelly,2023-04-01,4.09,10.13,1504.1631328142826,1495.8368671857174
NYY,SFG,5,7,King,Junis,2023-04-01,3.62,3.87,1511.859913980307,1488.140086019693
BOS,BAL,9,8,Jansen,Bautista,2023-04-01,3.63,1.48,1494.6960852265468,1505.3039147734532
TEX,PHI,16,3,Eovaldi,Wheeler,2023-04-01,3.63,3.61,1510.6078295469067,1489.3921704530933
CIN,PIT,6,2,Lodolo,Hill,2023-04-01,6.29,9.19,1494.6960852265468,1505.3039147734532
LAD,ARI,10,1,Kershaw,Bumgarner,2023-04-01,2.46,10.26,1507.2920424751774,1492.7079575248226
KCR,MIN,0,2,Lyles,Gray,2023-04-01,6.28,4.12,1492.4991317937113,1507.5008682062887
OAK,LAA,1,13,Fujinami,Sandoval,2023-04-01,7.18,4.11,1505.3039147734532,1494.6960852265468
MIA,NYM,2,6,Nardi,Megill,2023-04-01,3.2,3.63,1498.0319192654663,1501.9680807345337
SEA,CLE,0,2,Gilbert,Civale,2023-04-01,3.73,3.46,1496.7001367098678,1503.2998632901322
TBR,DET,12,2,Eflin,Turnbull,2023-04-01,3.5,7.26,1510.6078295469067,1489.3921704530933
SDP,COL,8,4,Wacha,Ureña,2023-04-01,3.22,6.45,1479.5796467202385,1520.4203532797615
SEA,CLE,5,6,Murfee,De Los Santos,2023-04-02,1.29,Not Found,1489.341734411078,1510.658265588922
LAD,ARI,1,2,Graterol,Chafin,2023-04-02,1.2,4.73,1522.5362615339177,1477.4637384660823
WSN,ATL,4,1,Gore,Shuster,2023-04-02,4.42,5.81,1476.0337966625327,1523.9662033374673
OAK,LAA,0,6,Waldichuk,Anderson,2023-04-02,5.36,5.42,1486.3698195979819,1513.6301804020181
BOS,BAL,9,5,Houck,Irvin,2023-04-02,5.01,4.42,1500.161887699757,1499.838112300243
TEX,PHI,2,1,Pérez,Falter,2023-04-02,10.8,5.36,1528.565063958679,1471.434936041321
TBR,DET,5,1,Springs,Wentz,2023-04-02,0.56,6.9,1526.357365992328,1473.642634007672
NYY,SFG,6,0,Brito,Stripling,2023-04-02,4.28,5.36,1503.8477469869736,1496.1522530130264
CHC,MIL,5,9,Taillon,Lauer,2023-04-02,4.84,6.56,1502.6494999555437,1497.3505000444563
CIN,PIT,3,1,Ashcraft,Velasquez,2023-04-02,4.76,3.86,1505.6276901729673,1494.3723098270327
STL,TOR,9,4,Montgomery,Bassitt,2023-04-02,3.2,3.6,1504.1631328142826,1495.8368671857174
KCR,MIN,4,7,Keller,Ryan,2023-04-02,4.57,1.75,1485.3219384614176,1514.6780615385824
MIA,NYM,1,5,Rogers,Senga,2023-04-02,3.83,2.98,1487.5442626236336,1512.4557373763664
SDP,COL,3,1,Lugo,Gomber,2023-04-02,3.57,5.5,1491.428704309657,1508.571295690343
HOU,CHW,3,6,Garcia,Clevinger,2023-04-02,9.26,3.77,1511.48427772711,1488.51572227289
LAD,COL,13,4,Almonte,Feltner,2023-04-03,5.06,5.82,1516.548108604025,1500.7006321013878
MIL,NYM,10,0,Peralta,Carrasco,2023-04-03,3.86,6.8,1508.120104988184,1522.3042757982573
OAK,CLE,11,12,May,Clase,2023-04-03,2.63,3.22,1474.3952124919745,1515.6371721672213
CHW,SFG,3,12,Kopech,DeSclafani,2023-04-03,5.43,4.88,1498.3088074992493,1483.4480837412464
STL,ATL,4,8,Woodford,Morton,2023-04-03,6.23,3.64,1515.7388793166274,1513.5201382224743
MIA,MIN,1,11,Cueto,Mahle,2023-04-03,6.02,3.16,1477.6957242017427,1523.090339156452
TEX,BAL,0,2,Gray,Coulombe,2023-04-03,4.12,2.81,1533.0046126295822,1489.2401681922447
HOU,DET,6,7,Neris,Wingenter,2023-04-03,1.71,5.82,1501.6911925007507,1464.6320418173648
BOS,PIT,6,7,Crawford,Underwood,2023-04-03,0.0,5.18,1510.7598318077553,1487.114351692424
NYY,PHI,8,1,Cortés,Walker,2023-04-03,Not Found,8.1,1516.5519162587536,1466.9953873704178
CIN,CHC,7,6,Cruz,Smyly,2023-04-03,4.91,5.0,1512.885648307576,1491.879895011816
SEA,LAA,3,7,Kirby,Tepera,2023-04-03,3.35,7.59,1484.3628278327787,1525.6047875080255
WSN,TBR,2,6,Williams,Rasmussen,2023-04-03,1.53,2.62,1486.4798617775257,1535.3679581826352
KCR,TOR,9,5,Singer,Berríos,2023-04-03,5.52,3.65,1476.909660843548,1484.2611206833726
SDP,ARI,5,4,Hill,McGough,2023-04-03,9.19,4.73,1499.2993678986122,1483.451891395975
OAK,CLE,4,3,May,Karinchak,2023-04-04,2.63,3.23,1469.7179525413121,1520.3144321178836
SEA,LAA,11,2,Castillo,Suarez,2023-04-04,6.23,8.29,1475.008307931454,1534.9593074093502
TEX,BAL,2,7,Heaney,Gibson,2023-04-04,4.15,4.73,1524.5638693274734,1497.6809114943535
WSN,TBR,6,10,Finnegan,Thompson,2023-04-04,3.76,4.71,1477.3548993532834,1544.4929206068775
MIL,NYM,9,0,Miley,Scherzer,2023-04-04,3.14,3.77,1525.576916797167,1504.8474639892743
LAD,COL,5,2,Urías,Márquez,2023-04-04,4.6,4.95,1531.7345781542792,1485.5141625511335
NYY,PHI,1,4,Germán,Bellatti,2023-04-04,4.56,5.11,1528.5966438005646,1454.9506598286068
HOU,DET,3,6,Valdez,Manning,2023-04-04,3.45,3.58,1495.8236724973638,1470.4995618207518
MIA,MIN,1,0,Alcántara,Maeda,2023-04-04,4.14,4.23,1463.1023124143,1537.6837509438947
SDP,ARI,6,8,García,Ginkel,2023-04-04,2.4,2.48,1504.3615244153636,1478.3897348792236
KCR,TOR,1,4,Bubic,Kikuchi,2023-04-04,3.94,3.86,1487.741910110998,1473.4288714159225
BOS,PIT,1,4,Pivetta,Contreras,2023-04-04,4.04,6.59,1505.095503923827,1492.7786795763523
STL,ATL,1,4,Matz,Dodd,2023-04-04,3.86,7.6,1505.0633085584702,1524.1957089806315
CIN,CHC,5,12,Farmer,Alzolay,2023-04-04,4.2,2.67,1517.8692816315952,1486.8962616877968
OAK,CLE,4,6,Jackson,Morgan,2023-04-05,4.99,4.01,1475.7888534677786,1514.243531191417
SEA,LAA,3,4,Flexen,Ohtani,2023-04-05,6.86,3.14,1493.6387399364903,1516.328875404314
TEX,BAL,5,2,deGrom,Voth,2023-04-05,2.67,5.19,1511.7881170487824,1510.4566637730445
MIA,MIN,5,2,Floro,Jax,2023-04-05,4.76,3.86,1469.5276077715657,1531.258455586629
WSN,TBR,2,7,Corbin,McClanahan,2023-04-05,3.39,3.29,1468.7717744887395,1553.0760454714214
STL,ATL,2,5,Mikolas,Elder,2023-04-05,4.78,3.81,1496.3820335695593,1532.8769839695424
MIL,NYM,7,6,Williams,Ottavino,2023-04-05,1.53,3.21,1540.5404251518992,1489.8839556345422
CHW,SFG,7,3,Cease,Webb,2023-04-05,4.58,3.69,1481.7168912238665,1500.0400000166292
HOU,DET,8,2,Javier,Rodríguez,2023-04-05,3.05,15.19,1485.9686034237852,1480.3546308943303
NYY,PHI,4,2,Cole,Nola,2023-04-05,2.63,4.46,1517.4913481754024,1466.055955453769
KCR,TOR,0,3,Greinke,Manoah,2023-04-05,5.06,5.87,1478.1770187907284,1482.9937627361921
